Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Avg_runs_per_innings,Season_Contribution_%,avg6s,avg4s,Boundary_Runs,Boundary_%,Runs_per_Ball
KL Rahul,14,14,2,670,132*,55.83,518,129.34,1,5,58,23,47.857142857142854,3.6200561919170084,1.6428571428571428,4.142857142857143,370,55.223880597014926,1.2934362934362935
Shikhar Dhawan,17,17,3,618,106*,44.14,427,144.73,2,4,67,12,36.35294117647059,3.3390966068727037,0.7058823529411765,3.9411764705882355,340,55.016181229773466,1.4473067915690867
David Warner,16,16,2,548,85*,39.14,407,134.64,0,4,52,14,34.25,2.9608817808515235,0.875,3.25,292,53.284671532846716,1.3464373464373465
Shreyas Iyer,17,17,2,519,88*,34.6,421,123.27,0,3,40,16,30.529411764705884,2.804192781499892,0.9411764705882353,2.3529411764705883,256,49.32562620423892,1.2327790973871735
Ishan Kishan,14,13,4,516,99,57.33,354,145.76,0,4,36,30,39.69230769230769,2.7879835746704127,2.3076923076923075,2.769230769230769,324,62.7906976744186,1.4576271186440677
Quinton de Kock,16,16,2,503,78*,35.92,358,140.5,0,4,46,22,31.4375,2.7177436784093367,1.375,2.875,316,62.82306163021869,1.405027932960894
Suryakumar Yadav,16,15,3,480,79*,40.0,331,145.01,0,4,61,11,32.0,2.593473092716663,0.7333333333333333,4.066666666666666,310,64.58333333333334,1.4501510574018126
Devdutt Padikkal,15,15,0,473,74,31.53,379,124.8,0,5,51,8,31.533333333333335,2.5556516101145452,0.5333333333333333,3.4,252,53.276955602537,1.2480211081794195
Virat Kohli,15,15,4,466,90*,42.36,384,121.35,0,3,23,11,31.066666666666666,2.5178301275124273,0.7333333333333333,1.5333333333333334,158,33.90557939914164,1.2135416666666667
AB de Villiers,15,14,4,454,73*,45.4,286,158.74,0,5,33,23,32.42857142857143,2.4529933001945103,1.6428571428571428,2.357142857142857,270,59.471365638766514,1.5874125874125875
Faf du Plessis,13,13,2,449,87*,40.81,319,140.75,0,4,42,14,34.53846153846154,2.4259779554787118,1.0769230769230769,3.230769230769231,252,56.12472160356348,1.4075235109717867
Shubman Gill,14,14,1,440,70*,33.84,373,117.96,0,3,44,9,31.428571428571427,2.3773503349902745,0.6428571428571429,3.142857142857143,230,52.27272727272727,1.1796246648793565
Manish Pandey,16,15,2,425,83*,32.69,333,127.62,0,3,35,18,28.333333333333332,2.2963043008428787,1.2,2.3333333333333335,248,58.35294117647059,1.2762762762762763
Mayank Agarwal,11,11,0,424,106,38.54,271,156.45,1,2,44,15,38.54545454545455,2.290901231899719,1.3636363636363635,4.0,266,62.735849056603776,1.5645756457564575
Eoin Morgan,14,14,4,418,68*,41.8,302,138.41,0,1,32,24,29.857142857142858,2.258482818240761,1.7142857142857142,2.2857142857142856,272,65.07177033492823,1.3841059602649006
Sanju Samson,14,14,1,375,85,28.84,236,158.89,0,3,21,26,26.785714285714285,2.026150853684893,1.8571428571428572,1.5,240,64.0,1.5889830508474576
Ambati Rayudu,12,11,2,359,71,39.88,282,127.3,0,1,30,12,32.63636363636363,1.9397017505943377,1.0909090909090908,2.727272727272727,192,53.48189415041783,1.2730496453900708
Nicholas Pooran,14,14,4,353,77,35.3,208,169.71,0,2,23,25,25.214285714285715,1.9072833369353792,1.7857142857142858,1.6428571428571428,242,68.55524079320114,1.6971153846153846
Nitish Rana,14,14,0,352,87,25.14,254,138.58,0,3,43,12,25.142857142857142,1.9018802679922195,0.8571428571428571,3.0714285714285716,244,69.31818181818183,1.3858267716535433
Marcus Stoinis,17,17,3,352,65,25.14,237,148.52,0,3,31,16,20.705882352941178,1.9018802679922195,0.9411764705882353,1.8235294117647058,220,62.5,1.4852320675105486
Jonny Bairstow,11,11,0,345,97,31.36,272,126.83,0,3,31,13,31.363636363636363,1.8640587853901016,1.1818181818181819,2.8181818181818183,202,58.550724637681164,1.2683823529411764
